annee,mois,compagnie,redevances
2023,1,AIR FRANCE,239341643.86
2023,1,AUSTRALAIR GSA,451334266.19
2023,1,MTA,1483000.12
2023,1,SIFOR,11800.8
2023,1,GRAPH'AIR,97374.89
2023,1,HFFTA,228811.44
2023,1,ASSIST,0.0
2023,1,DMSA,1031267.28
2023,1,NEOS,30026894.19
2023,1,LOT,16565402.62872
2023,1,SKY SERVICES,309417.84
2023,1,TOA,404318.93
2023,1,AIR LINK,1217397.34072
2023,1,ANKAO,40002.0
2023,1,SKY LOG,30601.68
2023,1,AÉROMARINE,195759.14
2023,1,AIR MADAGASCAR,90946179.81
2023,1,TSARADIA,36041802.0
2023,1,KENYA AIRWAYS,145198984.32
2023,1,TURKISH AIRLINES,10678655.46
2023,1,ETHOPIAN AIRLINES,231783900.12
2023,1,AIR MAURITIUS,227834725.29
2023,1,SOCOTA,0.0
2023,1,GS AVIATION,172466.42
2023,1,MAF,211812.96
2023,1,HELIMISSION,11200.56
2023,1,STA,38401.92
2023,1,GK AIRCRAFT,31601.76
2023,2,AIR FRANCE,179059218.0
2023,2,AUSTRALAIR GSA,274946221.4
2023,2,MTA,1947397.11
2023,2,SIFOR,0.0
2023,2,GRAPH'AIR,36801.84
2023,2,HFFTA,236213.76
2023,2,ASSIST,0.0
2023,2,DMSA,1096873.44
2023,2,NEOS,0.0
2023,2,LOT,0.0
2023,2,SKY SERVICES,61003.68
2023,2,TOA,771021.09
2023,2,AIR LINK,1209527.37
2023,2,ANKAO,30401.52
2023,2,SKY LOG,1600.08
2023,2,AÉROMARINE,486413.11
2023,2,AIR MADAGASCAR,50174391.944412
2023,2,TSARADIA,26932546.56
2023,2,KENYA AIRWAYS,126410360.37
2023,2,TURKISH AIRLINES,4708088.01
2023,2,ETHOPIAN AIRLINES,175233965.14
2023,2,AIR MAURITIUS,159097100.0
2023,2,SOCOTA,0.0
2023,2,GS AVIATION,287207.9
2023,2,MAF,188516.88
2023,2,HELIMISSION,35201.76
2023,2,STA,65803.44
2023,2,GK AIRCRAFT,29601.6
2023,3,AIR FRANCE,212457168.08
2023,3,AUSTRALAIR GSA,354599621.82
2023,3,MTA,1987734.86
2023,3,SIFOR,0.0
2023,3,GRAPH'AIR,0.0
2023,3,HFFTA,553430.16
2023,3,ASSIST,0.0
2023,3,DMSA,1487100.24
2023,3,NEOS,21792146.76
2023,3,LOT,0.0
2023,3,SKY SERVICES,147009.12
2023,3,TOA,423443.18
2023,3,AIR LINK,33404953.15
2023,3,ANKAO,30401.52
2023,3,SKY LOG,10600.56
2023,3,AÉROMARINE,0.0
2023,3,AIR MADAGASCAR,52756978.5
2023,3,TSARADIA,33043252.08
2023,3,KENYA AIRWAYS,129580555.24
2023,3,TURKISH AIRLINES,8196449.23
2023,3,ETHOPIAN AIRLINES,236517682.39
2023,3,AIR MAURITIUS,190021997.39
2023,3,SOCOTA,0.0
2023,3,GS AVIATION,443172.34
2023,3,MAF,179810.64
2023,3,HELIMISSION,10600.56
2023,3,STA,70404.0
2023,3,GK AIRCRAFT,8000.4
2023,4,AIR FRANCE,239186976.72
2023,4,AUSTRALAIR GSA,375366896.38
2023,4,MTA,1844709.36
2023,4,SIFOR,0.0
2023,4,GRAPH'AIR,44802.24
2023,4,HFFTA,521027.76
2023,4,ASSIST,0.0
2023,4,DMSA,1359490.56
2023,4,NEOS,94210380.63
2023,4,LOT,0.0
2023,4,SKY SERVICES,872851.68
2023,4,TOA,173208.96
2023,4,AIR LINK,38797767.94
2023,4,ANKAO,76803.84
2023,4,SKY LOG,80204.16
2023,4,AÉROMARINE,0.0
2023,4,AIR MADAGASCAR,55205737.23
2023,4,TSARADIA,37054652.64
2023,4,KENYA AIRWAYS,121190228.48
2023,4,TURKISH AIRLINES,8298323.68
2023,4,ETHOPIAN AIRLINES,332616945.23
2023,4,AIR MAURITIUS,202768116.91
2023,4,SOCOTA,0.0
2023,4,GS AVIATION,493238.61
2023,4,MAF,191811.84
2023,4,HELIMISSION,66403.44
2023,4,STA,0.0
2023,4,GK AIRCRAFT,32801.76
2023,5,AIR FRANCE,231100041.87
2023,5,AUSTRALAIR GSA,461625734.4
2023,5,MTA,2914784.44
2023,5,SIFOR,0.0
2023,5,GRAPH'AIR,110405.52
2023,5,HFFTA,1294614.99
2023,5,ASSIST,0.0
2023,5,DMSA,849456.24
2023,5,NEOS,124120397.67
2023,5,LOT,0.0
2023,5,SKY SERVICES,284416.32
2023,5,TOA,176809.44
2023,5,AIR LINK,49696351.16
2023,5,ANKAO,65603.28
2023,5,SKY LOG,120006.24
2023,5,AÉROMARINE,0.0
2023,5,AIR MADAGASCAR,53385220.47
2023,5,TSARADIA,37998699.84
2023,5,KENYA AIRWAYS,154258144.37
2023,5,TURKISH AIRLINES,10071026.36
2023,5,ETHOPIAN AIRLINES,379796066.2
2023,5,AIR MAURITIUS,234122933.2
2023,5,SOCOTA,0.0
2023,5,GS AVIATION,747538.23
2023,5,MAF,367021.68
2023,5,HELIMISSION,12800.64
2023,5,STA,0.0
2023,5,GK AIRCRAFT,17201.04
2023,6,AIR FRANCE,267977355.62
2023,6,AUSTRALAIR GSA,384927998.33
2023,6,MTA,2773348.86
2023,6,SIFOR,0.0
2023,6,GRAPH'AIR,105605.28
2023,6,HFFTA,352218.48
2023,6,ASSIST,0.0
2023,6,DMSA,1413895.2
2023,6,NEOS,110811027.17
2023,6,LOT,0.0
2023,6,SKY SERVICES,315218.88
2023,6,TOA,32001.6
2023,6,AIR LINK,54857038.21
2023,6,ANKAO,48002.4
2023,6,SKY LOG,80604.48
2023,6,AÉROMARINE,0.0
2023,6,AIR MADAGASCAR,71604169.23
2023,6,TSARADIA,35284964.16
2023,6,KENYA AIRWAYS,164323453.04
2023,6,TURKISH AIRLINES,18578549.04
2023,6,ETHOPIAN AIRLINES,375207281.63
2023,6,AIR MAURITIUS,211472024.82
2023,6,SOCOTA,36158.02
2023,6,GS AVIATION,48002.4
2023,6,MAF,403825.68
2023,6,HELIMISSION,51202.56
2023,6,STA,0.0
2023,6,GK AIRCRAFT,0.0
2023,7,AIR FRANCE,322342401.95
2023,7,AUSTRALAIR GSA,539619015.31
2023,7,MTA,2533402.23
2023,7,WASSMAN,8400.48
2023,7,GRAPH'AIR,19200.96
2023,7,HFFTA,1128573.19
2023,7,HITA,32001.6
2023,7,DMSA,1227880.8
2023,7,NEOS,118758913.76
2023,7,LOT,56842836.83
2023,7,SKY SERVICES,180666.11
2023,7,TOA,0.0
2023,7,AIR LINK,55246489.72
2023,7,ANKAO,65603.28
2023,7,SKY LOG,62003.28
2023,7,AIR MADAGASCAR,82635497.69
2023,7,TSARADIA,43011750.48
2023,7,KENYA AIRWAYS,196275264.81
2023,7,TURKISH AIRLINES,30755108.86
2023,7,ETHOPIAN AIRLINES,481459974.8
2023,7,AIR MAURITIUS,289292939.52
2023,7,SOCOTA,19001.04
2023,7,GS AVIATION,440220.29
2023,7,MAF,206612.64
2023,7,HELIMISSION,28801.68
2023,7,GK AIRCRAFT,0.0
2023,8,AIR FRANCE,316779778.12
2023,8,AUSTRALAIR GSA,585527993.59
2023,8,CORSAIR,112062716.92
2023,8,WASSMAN,9600.48
2023,8,GRAPH'AIR,174408.72
2023,8,HFFTA,464425.2
2023,8,HITA,73403.76
2023,8,DMSA,1526900.88
2023,8,NEOS,152800724.7
2023,8,LOT,51787632.47
2023,8,SKY SERVICES,471424.32
2023,8,TOA,505969.73
2023,8,AIR LINK TNR,79326217.75
2023,8,AIR LINK NOS,9310733.68
2023,8,ANKAO,112005.6
2023,8,SKY LOG,95604.96
2023,8,M AIRLINES,163591668.13
2023,8,KENYA AIRWAYS,240289261.06
2023,8,TURKISH AIRLINES,32605348.29
2023,8,ETHOPIAN AIRLINES,582568290.17
2023,8,AIR MAURITIUS,356120148.17
2023,8,SOCOTA,70404.0
2023,8,GS AVIATION,738524.87
2023,8,MAF,299216.88
2023,8,HELIMISSION,22401.12
2023,8,GK AIRCRAFT,63003.6
2023,9,AIR FRANCE,543375029.9
2023,9,AUSTRALAIR GSA,442935241.2
2023,9,CORSAIR,90739187.99
2023,9,MTA,2430761.17
2023,9,WASSMAN,17600.88
2023,9,GRAPH'AIR,49602.48
2023,9,HFFTA,659436.72
2023,9,HITA,38401.92
2023,9,DMSA,1635506.64
2023,9,NEOS,116122301.06
2023,9,LOT,63327029.61
2023,9,SKY SERVICES,290014.56
2023,9,TOA,661073.55
2023,9,AIR LINK TNR,74384418.34
2023,9,AIR LINK NOS,9711728.63
2023,9,ANKAO,57602.88
2023,9,SKY LOG,31401.84
2023,9,M AIRLINES,91189948.95
2023,9,KENYA AIRWAYS,215328199.79
2023,9,TURKISH AIRLINES,29889266.13
2023,9,ETHOPIAN AIRLINES,506494484.32
2023,9,AIR MAURITIUS,256711298.23
2023,9,SOCOTA,167719.09
2023,9,GS AVIATION,70403.52
2023,9,UNHAS,526429.68
2023,9,MAF,378221.52
2023,9,HELIMISSION,51202.56
2023,10,AIR FRANCE,294038617.05
2023,10,AUSTRALAIR GSA,528949394.79
2023,10,CORSAIR,82972318.85
2023,10,MTA,2473887.03
2023,10,WASSMAN,8000.4
2023,10,GRAPH'AIR,11200.56
2023,10,HFFTA,499965.47
2023,10,HITA,12800.64
2023,10,DMSA,2099929.92
2023,10,NEOS,137501058.0
2023,10,LOT,58182303.59
2023,10,SKY SERVICES,310415.52
2023,10,TOA,1207858.85
2023,10,AIR LINK TNR,78862900.44
2023,10,AIR LINK NOS,15828445.19
2023,10,ANKAO,121606.08
2023,10,SKY LOG,149008.08
2023,10,M AIRLINES,111442055.21
2023,10,KENYA AIRWAYS,204031762.09
2023,10,TURKISH AIRLINES,23921166.8
2023,10,ETHOPIAN AIRLINES,580655649.08
2023,10,AIR MAURITIUS,249058204.3
2023,10,SOCOTA,94405.68
2023,10,GS AVIATION,43202.16
2023,10,UNHAS,605034.96
2023,10,MAF,351621.84
2023,10,HELIMISSION,56002.8
2023,11,AIR FRANCE,237402327.97
2023,11,AUSTRALAIR GSA,410101045.24
2023,11,CORSAIR,46268433.38
2023,11,MTA,2361266.83
2023,11,WASSMAN,11200.56
2023,11,GRAPH'AIR,356784.33
2023,11,HFFTA,761653.08
2023,11,HITA,0.0
2023,11,DMSA,1725910.08
2023,11,NEOS,111099189.23
2023,11,LOT,101808585.16
2023,11,SKY SERVICES,729837.84
2023,11,TOA,664709.98
2023,11,AIR LINK TNR,66297598.28
2023,11,AIR LINK NOS,8814849.21
2023,11,ANKAO,62403.12
2023,11,SKY LOG,48002.4
2023,11,M AIRLINES,55112640.35
2023,11,KENYA AIRWAYS,203672677.8
2023,11,TURKISH AIRLINES,15767130.97
2023,11,ETHOPIAN AIRLINES,465666136.08
2023,11,AIR MAURITIUS,117307893.0
2023,11,SOCOTA,86277.76
2023,11,GS AVIATION,0.0
2023,11,UNHAS,225611.76
2023,11,MAF,262815.12
2023,11,HELIMISSION,9600.48
2023,12,AIR FRANCE,279565828.38
2023,12,AUSTRALAIR GSA,521656471.65
2023,12,CORSAIR,77485727.61
2023,12,MTA,1422083.76
2023,12,WASSMAN,28001.52
2023,12,GRAPH'AIR,70403.52
2023,12,HFFTA,671189.73
2023,12,HITA,40002.0
2023,12,DMSA,1131077.28
2023,12,NEOS,47849655.42
2023,12,LOT,101198208.95
2023,12,SKY SERVICES,561628.08
2023,12,TOA,794720.84
2023,12,AIR LINK,84225293.61
2023,12,ANKAO,78403.92
2023,12,SKY LOG,4200.24
2023,12,M AIRLINES,38904345.12
2023,12,KENYA AIRWAYS,167696612.21
2023,12,TURKISH AIRLINES,23497392.35
2023,12,ETHOPIAN AIRLINES,426152968.26
2023,12,AIR MAURITIUS,287327316.46
2023,12,SOCOTA,4600.32
2023,12,GS AVIATION,154035.81
2023,12,UNHAS,144608.16
2023,12,MAF,240814.32
2023,12,HELIMISSION,27201.36
2024,1,AIR AUSTRAL,374654089.96092
2024,1,AIR FRANCE,207470255.309424
2024,1,AIR MAURITIUS,263132784.950868
2024,1,AIRLINK,53463982.312188
2024,1,ANKAO MANAGEMENT,9600.48
2024,1,CORSAIR,83686816.270476
2024,1,DMSA,1902124.8
2024,1,ETHIOPIAN AIRLINES,373185470.926044
2024,1,EWA AIR,207294014.412072
2024,1,GK AIRCRAFT TRADE,50603.04
2024,1,GRAPH'AIR,35201.76
2024,1,GS AIRLINES (GSA),28801.44
2024,1,HELIMISSION MADAGASCAR,6400.32
2024,1,HFF TRAVEL AIRWAYS,709212.549636
2024,1,HUILERIE INDUSTRIELLE DE TAMATAVE,22401.12
2024,1,KENYA AIRWAYS,165860209.300464
2024,1,LOT MADAGASCAR,12455569.160136
2024,1,MADAGASCAR AIRLINES,18412120.56
2024,1,MADAGASCAR TRANS AIR (MTA),392824.8
2024,1,NEOS,23647196.800332
2024,1,ONG MISSION AVIATION FELLOWSHIP,45203.04
2024,1,RONSSIN/ANJOANINA/SARY,9600.48
2024,1,SKY LOG,33001.92
2024,1,SKY SERVICES MADAGASCAR,421221.6
2024,1,TRANS OCEAN AIRWAYS (TOA),986264.498748
2024,1,TURKISH AIRLINES,16775951.08284
2024,2,AIR AUSTRAL,315536440.394448
2024,2,AIR FRANCE,335614516.871904
2024,2,AIR MAURITIUS,237703910.710896
2024,2,AIRLINK,47640487.544496
2024,2,ANKAO MANAGEMENT,0.0
2024,2,CORSAIR,49435118.843472
2024,2,DMSA,719248.32
2024,2,ETHIOPIAN AIRLINES,299801681.591328
2024,2,EWA AIR,107650676.56392
2024,2,GK AIRCRAFT TRADE,36202.08
2024,2,GRAPH'AIR,59202.96
2024,2,GS AIRLINES (GSA),33601.68
2024,2,HELIMISSION MADAGASCAR,9600.48
2024,2,HFF TRAVEL AIRWAYS,818858.008032
2024,2,KENYA AIRWAYS,126532387.127664
2024,2,MADAGASCAR AIRLINES,33745687.2
2024,2,MADAGASCAR TRANS AIR (MTA),454431.6
2024,2,ONG MISSION AVIATION FELLOWSHIP,243815.28
2024,2,RONSSIN/ANJOANINA/SARY,1600.08
2024,2,SKY LOG,32601.84
2024,2,SKY SERVICES MADAGASCAR,365669.745792
2024,2,TRANS OCEAN AIRWAYS (TOA),1587386.074752
2024,2,TURKISH AIRLINES,15536436.053472
2024,3,AIR AUSTRAL,272537173.085688
2024,3,AIR FRANCE,201456104.589828
2024,3,AIR MAURITIUS,235630456.28766
2024,3,AIRLINK,72982339.890012
2024,3,ANKAO MANAGEMENT,56002.8
2024,3,CORSAIR,71322432.570396
2024,3,DMSA,787250.88
2024,3,ETHIOPIAN AIRLINES,393661385.429508
2024,3,EWA AIR,90897026.442516
2024,3,GK AIRCRAFT TRADE,35601.84
2024,3,GRAPH'AIR,4800.24
2024,3,HELIMISSION MADAGASCAR,65603.28
2024,3,HFF TRAVEL AIRWAYS,580908.050232
2024,3,KENYA AIRWAYS,168465772.339956
2024,3,MADAGASCAR AIRLINES,35257762.8
2024,3,MADAGASCAR TRANS AIR (MTA),1334879.76
2024,3,NEOS,23792602.081572
2024,3,ONG MISSION AVIATION FELLOWSHIP,165810.24
2024,3,RONSSIN/ANJOANINA/SARY,6400.32
2024,3,SKY LOG,48002.4
2024,3,SKY SERVICES MADAGASCAR,123186.048372
2024,3,TRANS OCEAN AIRWAYS (TOA),987461.002788
2024,3,TURKISH AIRLINES,16661612.875392
2024,4,AIR AUSTRAL,543126206.268828
2024,4,AIR FRANCE,267317012.924208
2024,4,AIR MAURITIUS,227881529.042076
2024,4,AIRLINK,7675627.685544
2024,4,ANKAO MANAGEMENT,12800.64
2024,4,CORSAIR,62313990.017292
2024,4,DMSA,748248.48
2024,4,ETHIOPIAN AIRLINES,438236034.235272
2024,4,EWA AIR,104678638.987104
2024,4,GK AIRCRAFT TRADE,46602.48
2024,4,GRAPH'AIR,43002.24
2024,4,GS AIRLINES (GSA),32001.6
2024,4,HELIMISSION MADAGASCAR,33601.68
2024,4,HFF TRAVEL AIRWAYS,732264.446268
2024,4,KENYA AIRWAYS,164391396.09984
2024,4,MADAGASCAR AIRLINES,32862443.04
2024,4,MADAGASCAR TRANS AIR (MTA),1601491.44
2024,4,NEOS,123412984.101108
2024,4,ONG MISSION AVIATION FELLOWSHIP,310618.32
2024,4,RONSSIN/ANJOANINA/SARY,24401.28
2024,4,SKY LOG,124206.48
2024,4,SKY SERVICES MADAGASCAR,190009.92
2024,4,TRANS OCEAN AIRWAYS (TOA),789137.032812
2024,4,TURKISH AIRLINES,14645985.327324
2024,5,AIR AUSTRAL,292135714.075296
2024,5,AIR FRANCE,294386616.396288
2024,5,AIR MAURITIUS,213334946.723808
2024,5,AIRLINK,72828242.06112
2024,5,ANKAO MANAGEMENT,8000.4
2024,5,CORSAIR,93432680.419104
2024,5,DMSA,816654.96
2024,5,ETHIOPIAN AIRLINES,444953134.132416
2024,5,EWA AIR,138769796.797632
2024,5,GK AIRCRAFT TRADE,43802.4
2024,5,GRAPH'AIR,127947.575616
2024,5,GS AIRLINES (GSA),56002.8
2024,5,HELIMISSION MADAGASCAR,27201.36
2024,5,HFF TRAVEL AIRWAYS,526428.24
2024,5,HUILERIE INDUSTRIELLE DE TAMATAVE,32001.6
2024,5,KENYA AIRWAYS,189109652.816448
2024,5,MADAGASCAR AIRLINES,35545777.2
2024,5,MADAGASCAR TRANS AIR (MTA),2688573.799584
2024,5,NEOS,141254479.533024
2024,5,ONG MISSION AVIATION FELLOWSHIP,443626.08
2024,5,RONSSIN/ANJOANINA/SARY,16000.8
2024,5,SKY LOG,76604.16
2024,5,SKY SERVICES MADAGASCAR,212811.84
